Paragraph,Question,Answer,,,,
"The college has a regional contractual agreement with Enterprise Rent A Car, which allows a traveler with a valid drivers license to rent a car for approved College travel if valid identification as a College employee or student is presented can students do this?. To make arrangements the traveler should contact the Director of Purchasing for a purchase order number or if the traveler has a Pcard go to www.sbc.edu/business-office and click on the Enterprise Reservations link. The use of a rental car should be justified as an economical, business necessity. All rentals should be at the Corporate Rate or the lowest possible rate per day. When traveling in groups, sharing of cars is encouraged to reduce costs. Fuel costs will be reimbursed based upon actual fuel purchased, not mileage. Use of a mid-size, 4-door vehicle or smaller is encouraged.",Which rental agency does the college have a contract with?,Enterprise Rent A Car,,,,
,What kind of car rental is encouraged?,"mid-size, 4-door vehicle or smaller",,,,
,Who should we contact to make travel arrangements?,Director of Purchasing,,,,
,Which website should the traveler with Pcard use?,www.sbc.edu/business-office,,,,
"Car Rental Insurance: Collision damage insurance (sometimes referred as CDW or LDW), personal accident insurance (PAI), and liability insurance supplement (LIS) should be declined when traveling within the United States; if elected, the insurance shall not be reimbursable. However, when traveling outside the United States, this coverage should be selected and is reimbursable. Questions regarding car rental insurance should be directed to the Director of Purchasing at 434-381-6136.",Is collision damage insurance reimbursable?,No,,,,
,Is liability insurance reimbursable?,No,,,,
"Meal and Entertainment Expenses: Sweet Briar College will reimburse travelers for reasonable meal expenses (breakfast, lunch, dinner) incurred while traveling or entertaining on College business. Travelers will be reimbursed for meal expenses as follows: the average of $75 per day over the time period of the travel. Actual Meal and Entertainment According to IRS guidelines, meal and entertainment charges for business guests are reimbursable when names, positions, or titles, and the organizational affiliation of the guest(s), along with the business purpose are indicated on the Travel Expense Summary or supporting documentation. NOTE: Original documents must be submitted as support for expenses. Photocopies of invoices, credit card statements or record of charge slips accompanying the monthly billing statement, receipts or restaurants stubs are not acceptable unless the original document was lost and a Missing Receipt Form is attached to the Travel Expense Summary giving full explanation of circumstances. While entertaining large groups an event attendance list or itinerary is to be provided. A travel itinerary is acceptable for prearranged dinners. A receipt is defined as a written acknowledgment that a specified remittance, article or delivery has been made. At a minimum, the name of the payee, date and amount should appear on the receipt. Any unusual items or special circumstances causing a policy deviation should be fully explained on an attached, signed memorandum and properly approved.",What amount in $ per day is allowed as meal and entertainment expense?,75,,,,
,Do we need to submit original receipts for reimbursements?,Yes,,,,
,Under what circumstances will credit card statements work?,when the original document was lost and a Missing Receipt Form is attached to the Travel Expense Summary giving full explanation of circumstances,,,,
,What document needs to be filled to get a reimbursement on meal and entertainment expense?,Travel Expense Summary,,,,
